Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Quantity,Unit_Price,Discount_%,Revenue,Product_Cost,Profit,Acquisition_Channel,Payment_Method,Delivery_Days,Order_Status,Returned,Complaint,Customer_Rating,Repeat_Purchase,Month,Month_Number
LL10013,2025-10-21,C1280,New,Linen Two-Piece,Two-Piece Sets,1,40606.62,20.93,1711.81,27000,-5008.85,TikTok,Transfer,8,Returned,Yes,Yes,1,No,Oct,10
LL10014,2025-11-04,C1489,Returning,Silk Scarf,Accessories,2,10932.02,18.34,17853.56,11000,6853.56,TikTok,Transfer,6,Delivered,No,No,3,Yes,Nov,11
LL10015,2025-01-02,C1385,New,Knit Cardigan,Tops,1,24000.0,15.0,20399.42,14500,5899.42,Instagram,Card,3,Delivered,No,No,4,No,Jan,1
LL10016,2025-04-09,C1153,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,18.94,34043.95,27000,7043.95,TikTok,USSD,1,Delivered,No,No,4,No,Apr,4
LL10017,2025-06-25,C1460,New,Leather Tote,Bags,3,38000.0,5.55,107670.23,67500,40170.23,TikTok,Cash,1,Delivered,No,No,4,No,Jun,6
LL10018,2025-11-13,C1304,New,Classic Blazer,Outerwear,2,43367.44,31.6,59325.92,60000,-674.08,Walk-in,Card,6,Delivered,No,No,4,No,Nov,11
LL10019,2025-04-05,C1099,Returning,Wide-Leg Trousers,Trousers,2,28000.0,5.77,52771.02,34000,18771.02,TikTok,Transfer,1,Delivered,No,No,3,Yes,Apr,4
LL10020,2025-10-15,C1431,Returning,Linen Two-Piece,Two-Piece Sets,1,38792.18,18.77,31511.42,27000,4511.42,TikTok,Cash,5,Delivered,No,No,3,Yes,Oct,10
LL10021,2025-11-02,C1409,Returning,Knit Cardigan,Tops,2,22847.93,20.58,36293.83,29000,7293.83,Referral,Cash,10,Delivered,No,Yes,3,Yes,Nov,11
LL10022,2025-08-03,C1447,New,Basic Bodysuit,Tops,1,14678.21,21.82,11476.02,9000,2476.02,Google,Cash,5,Delivered,No,No,3,No,Aug,8
LL10023,2025-04-13,C1196,Returning,Wide-Leg Trousers,Trousers,1,28000.0,18.32,22870.72,17000,5870.72,Instagram,USSD,1,Delivered,No,No,5,Yes,Apr,4
LL10024,2025-12-12,C1229,New,Silk Scarf,Accessories,1,11460.96,15.83,9646.66,5500,4146.66,Instagram,USSD,2,Delivered,No,No,4,No,Dec,12
LL10025,2025-07-08,C1487,Returning,Mini Handbag,Bags,1,20426.51,11.37,0.0,12500,0.0,Referral,Transfer,8,Cancelled,No,Yes,3,Yes,Jul,7
LL10026,2025-08-06,C1474,Returning,Silk Scarf,Accessories,1,11246.09,27.36,8169.15,5500,2669.15,WhatsApp,Transfer,5,Delivered,No,No,4,Yes,Aug,8
LL10027,2025-12-02,C1247,Returning,Knit Cardigan,Tops,1,22345.29,21.24,17600.08,14500,3100.08,WhatsApp,Card,5,Delivered,No,No,4,Yes,Dec,12
LL10028,2025-12-03,C1090,New,Premium Jumpsuit,Jumpsuits,1,48217.0,14.89,0.0,34000,0.0,Instagram,Card,3,Cancelled,No,No,5,No,Dec,12
LL10029,2025-06-13,C1394,New,Statement Earrings,Accessories,2,9000.0,1.06,17808.9,7000,10808.9,TikTok,USSD,1,Delivered,No,No,3,No,Jun,6
LL10030,2025-03-03,C1084,Returning,Leather Tote,Bags,1,38000.0,11.31,33702.92,22500,11202.92,Instagram,Transfer,3,Delivered,No,No,4,Yes,Mar,3
LL10031,2025-05-24,C1373,New,Knit Cardigan,Tops,2,24000.0,16.02,40308.18,29000,11308.18,Referral,Cash,1,Delivered,No,No,2,No,May,5
LL10032,2025-08-23,C1331,New,Knit Cardigan,Tops,1,23206.97,26.85,16975.4,14500,2475.4,Google,Cash,2,Delivered,No,No,4,No,Aug,8
LL10033,2025-12-05,C1136,New,Satin Dress,Dresses,2,33157.29,21.41,52114.53,42000,10114.53,TikTok,Card,5,Delivered,No,No,3,No,Dec,12
LL10034,2025-06-22,C1141,New,Premium Jumpsuit,Jumpsuits,2,52000.0,4.14,99694.28,68000,31694.28,Referral,Cash,4,Delivered,No,No,4,Yes,Jun,6
LL10035,2025-04-27,C1134,Returning,Mini Handbag,Bags,1,22000.0,9.16,19984.88,12500,7484.88,Instagram,Transfer,3,Delivered,No,No,3,Yes,Apr,4
LL10036,2025-01-12,C1330,Returning,Statement Earrings,Accessories,1,9000.0,17.63,7413.38,3500,3913.38,Instagram,Transfer,4,Delivered,No,No,3,Yes,Jan,1
LL10037,2025-12-23,C1041,New,Maxi Skirt,Skirts,1,25092.69,19.71,20147.23,15500,4647.23,WhatsApp,Transfer,8,Delivered,No,Yes,2,No,Dec,12
LL10038,2025-08-30,C1251,New,Silk Scarf,Accessories,1,11546.5,27.16,8410.78,5500,2910.78,WhatsApp,USSD,7,Delivered,No,Yes,3,No,Aug,8
LL10039,2025-04-08,C1105,New,Satin Dress,Dresses,2,35000.0,16.71,58301.4,42000,16301.4,Google,Card,6,Delivered,No,No,3,Yes,Apr,4
LL10040,2025-06-22,C1205,New,Satin Dress,Dresses,1,35000.0,11.75,30886.18,21000,9886.18,WhatsApp,Transfer,3,Delivered,No,No,3,No,Jun,6
LL10041,2025-02-23,C1236,New,Maxi Skirt,Skirts,1,26000.0,4.9,24726.5,15500,9226.5,Referral,Card,2,Delivered,No,No,3,No,Feb,2
LL10042,2025-11-04,C1249,Returning,Statement Earrings,Accessories,2,8314.53,25.22,12434.93,7000,5434.93,WhatsApp,Card,4,Delivered,No,No,5,Yes,Nov,11
LL10043,2025-03-10,C1034,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,15.61,35442.38,27000,8442.38,Instagram,Transfer,1,Delivered,No,No,3,Yes,Mar,3
LL10044,2025-07-03,C1281,Returning,Classic Blazer,Outerwear,1,46936.74,20.44,0.0,30000,0.0,WhatsApp,Transfer,4,Cancelled,No,No,4,Yes,Jul,7
LL10045,2025-05-13,C1233,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,8.13,38586.79,27000,11586.79,Instagram,Card,1,Delivered,No,No,4,No,May,5
LL10046,2025-02-25,C1214,New,Knit Cardigan,Tops,1,24000.0,10.18,21557.24,14500,7057.24,TikTok,Cash,4,Delivered,No,No,4,No,Feb,2
LL10047,2025-08-15,C1371,New,Basic Bodysuit,Tops,1,14508.85,19.14,11731.2,9000,2731.2,Instagram,Card,6,Delivered,No,No,5,No,Aug,8
LL10048,2025-08-16,C1111,Returning,Statement Earrings,Accessories,1,8506.41,11.46,7531.43,3500,4031.43,TikTok,Transfer,5,Delivered,No,No,4,Yes,Aug,8
LL10049,2025-10-16,C1437,New,Leather Tote,Bags,2,34467.18,16.97,0.0,45000,0.0,Google,Transfer,1,Cancelled,No,Yes,4,No,Oct,10
LL10050,2025-12-01,C1134,Returning,Statement Earrings,Accessories,1,8691.02,22.54,6732.12,3500,3232.12,Referral,Card,7,Delivered,No,Yes,3,Yes,Dec,12
LL10051,2025-11-20,C1275,New,Wide-Leg Trousers,Trousers,1,25846.53,15.71,21786.84,17000,4786.84,WhatsApp,Transfer,4,Delivered,No,Yes,3,Yes,Nov,11
LL10052,2025-06-21,C1386,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,8.08,38607.57,27000,11607.57,Instagram,Transfer,3,Delivered,No,No,3,No,Jun,6
LL10053,2025-08-24,C1434,New,Statement Earrings,Accessories,1,8134.63,21.34,6398.66,3500,2898.66,Referral,Cash,4,Delivered,No,No,3,No,Aug,8
LL10054,2025-03-03,C1132,New,Premium Jumpsuit,Jumpsuits,1,52000.0,6.6,48569.94,34000,14569.94,Google,Card,1,Delivered,No,No,2,Yes,Mar,3
LL10055,2025-08-13,C1495,New,Mini Handbag,Bags,1,21454.1,19.18,17339.62,12500,4839.62,WhatsApp,Transfer,6,Delivered,No,No,4,No,Aug,8
LL10056,2025-02-07,C1441,New,Mini Handbag,Bags,2,22000.0,10.41,39419.48,25000,14419.48,Instagram,Transfer,3,Delivered,No,No,5,No,Feb,2
LL10057,2025-12-31,C1216,Returning,Statement Earrings,Accessories,1,8618.43,15.86,7251.29,3500,3751.29,WhatsApp,Card,4,Delivered,No,No,3,Yes,Dec,12
LL10058,2025-10-30,C1346,Returning,Knit Cardigan,Tops,2,21867.1,25.48,32590.63,29000,3590.63,Instagram,Transfer,6,Delivered,No,No,5,Yes,Oct,10
LL10059,2025-10-20,C1328,Returning,Satin Dress,Dresses,1,33562.04,32.41,22684.54,21000,1684.54,Walk-in,USSD,7,Delivered,No,Yes,3,Yes,Oct,10
LL10060,2025-05-29,C1431,New,Basic Bodysuit,Tops,1,15000.0,20.47,11929.36,9000,2929.36,Referral,Card,2,Delivered,No,No,3,No,May,5
LL10061,2025-12-13,C1017,Returning,Maxi Skirt,Skirts,1,24436.6,12.37,21413.09,15500,5913.09,TikTok,USSD,4,Delivered,No,No,4,Yes,Dec,12
LL10062,2025-03-04,C1189,New,Silk Scarf,Accessories,1,12000.0,4.47,11463.92,5500,5963.92,Instagram,Cash,3,Delivered,No,Yes,4,No,Mar,3
LL10063,2025-01-19,C1018,New,Classic Blazer,Outerwear,1,48000.0,16.94,39867.4,30000,9867.4,TikTok,Card,1,Delivered,No,No,4,No,Jan,1
LL10064,2025-06-11,C1380,Returning,Silk Scarf,Accessories,1,12000.0,12.64,898.52,5500,-1154.91,Referral,Card,4,Returned,Yes,Yes,2,Yes,Jun,6
LL10065,2025-04-07,C1092,New,Linen Two-Piece,Two-Piece Sets,3,42000.0,16.25,105526.23,81000,24526.23,Walk-in,Transfer,3,Delivered,No,No,5,No,Apr,4
LL10066,2025-04-22,C1381,Returning,Knit Cardigan,Tops,1,24000.0,13.85,0.0,14500,0.0,Google,Card,5,Cancelled,No,No,3,Yes,Apr,4
LL10067,2025-10-20,C1422,Returning,Basic Bodysuit,Tops,2,14416.33,14.23,24729.0,18000,6729.0,Instagram,Cash,4,Delivered,No,No,4,Yes,Oct,10
LL10068,2025-01-14,C1009,New,Basic Bodysuit,Tops,1,15000.0,14.72,12792.71,9000,3792.71,Instagram,Cash,3,Delivered,No,Yes,4,No,Jan,1
LL10069,2025-12-07,C1042,Returning,Leather Tote,Bags,1,36389.42,17.26,30109.87,22500,7609.87,Instagram,Transfer,3,Delivered,No,No,4,Yes,Dec,12
LL10070,2025-11-05,C1455,Returning,Satin Dress,Dresses,1,32572.79,16.34,3484.37,21000,-2080.47,WhatsApp,Transfer,5,Returned,Yes,Yes,2,Yes,Nov,11
LL10071,2025-10-23,C1011,New,Satin Dress,Dresses,2,32610.62,26.74,47780.96,42000,5780.96,Walk-in,Transfer,7,Delivered,No,Yes,2,No,Oct,10
LL10072,2025-12-03,C1446,Returning,Maxi Skirt,Skirts,1,25003.5,18.73,20321.31,15500,4821.31,Instagram,Transfer,4,Delivered,No,No,5,Yes,Dec,12
LL10073,2025-05-11,C1498,Returning,Knit Cardigan,Tops,2,24000.0,8.46,43938.69,29000,14938.69,Walk-in,Cash,2,Delivered,No,No,5,Yes,May,5
LL10074,2025-07-17,C1200,New,Basic Bodysuit,Tops,1,14331.81,26.45,10541.74,9000,1541.74,Instagram,Card,5,Delivered,No,No,3,No,Jul,7
LL10075,2025-12-01,C1117,Returning,Classic Blazer,Outerwear,2,46443.07,17.8,76350.34,60000,16350.34,TikTok,Cash,6,Delivered,No,No,3,Yes,Dec,12
LL10076,2025-07-02,C1471,New,Statement Earrings,Accessories,1,8669.32,24.39,0.0,3500,0.0,TikTok,Card,5,Cancelled,No,No,4,Yes,Jul,7
LL10077,2025-09-04,C1269,Returning,Classic Blazer,Outerwear,1,44243.28,17.88,36333.19,30000,6333.19,TikTok,Transfer,4,Delivered,No,No,4,Yes,Sep,9
LL10078,2025-06-07,C1498,New,Mini Handbag,Bags,1,22000.0,9.33,19948.14,12500,7448.14,Instagram,USSD,1,Delivered,No,No,3,No,Jun,6
LL10079,2025-07-17,C1295,Returning,Statement Earrings,Accessories,1,8813.64,29.55,6209.33,3500,2709.33,Instagram,USSD,3,Delivered,No,No,3,Yes,Jul,7
LL10080,2025-08-06,C1425,New,Classic Blazer,Outerwear,2,46274.96,15.35,78348.11,60000,18348.11,WhatsApp,Transfer,9,Delivered,No,Yes,3,No,Aug,8
LL10081,2025-12-04,C1062,Returning,Classic Blazer,Outerwear,1,45261.98,15.24,38364.56,30000,8364.56,WhatsApp,Card,6,Delivered,No,No,4,Yes,Dec,12
LL10082,2025-09-18,C1395,New,Statement Earrings,Accessories,1,8103.66,23.42,6205.94,3500,2705.94,WhatsApp,Transfer,5,Delivered,No,No,4,Yes,Sep,9
LL10083,2025-10-28,C1224,Returning,Classic Blazer,Outerwear,1,45372.41,15.55,38315.73,30000,8315.73,Instagram,Cash,6,Delivered,No,No,4,Yes,Oct,10
LL10084,2025-12-29,C1045,Returning,Premium Jumpsuit,Jumpsuits,1,49707.8,21.58,0.0,34000,0.0,Instagram,Cash,4,Cancelled,No,No,4,Yes,Dec,12
LL10085,2025-06-07,C1039,New,Wide-Leg Trousers,Trousers,1,28000.0,17.84,23005.77,17000,6005.77,Instagram,Transfer,3,Delivered,No,No,4,No,Jun,6
LL10086,2025-03-15,C1233,Returning,Knit Cardigan,Tops,1,24000.0,10.95,21372.33,14500,6872.33,Walk-in,Transfer,3,Delivered,No,No,4,Yes,Mar,3
LL10087,2025-07-12,C1022,Returning,Maxi Skirt,Skirts,1,24636.34,15.07,20924.32,15500,5424.32,TikTok,Transfer,8,Delivered,No,Yes,3,Yes,Jul,7
LL10088,2025-01-26,C1482,New,Wide-Leg Trousers,Trousers,1,28000.0,13.66,24176.3,17000,7176.3,TikTok,Transfer,4,Delivered,No,No,4,No,Jan,1
LL10089,2025-01-27,C1195,Returning,Knit Cardigan,Tops,1,24000.0,0.77,23816.13,14500,9316.13,Referral,Cash,2,Delivered,No,No,3,Yes,Jan,1
LL10090,2025-01-27,C1072,New,Basic Bodysuit,Tops,2,15000.0,27.82,21653.91,18000,3653.91,Referral,Cash,4,Delivered,No,Yes,4,No,Jan,1
LL10091,2025-02-15,C1015,New,Silk Scarf,Accessories,1,12000.0,11.87,10575.01,5500,5075.01,Instagram,Card,1,Delivered,No,No,3,No,Feb,2
LL10092,2025-03-13,C1277,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,14.98,35708.92,27000,8708.92,WhatsApp,Transfer,4,Delivered,No,No,4,Yes,Mar,3
LL10093,2025-03-17,C1377,New,Leather Tote,Bags,1,38000.0,17.52,31343.54,22500,8843.54,Instagram,Transfer,4,Delivered,No,No,3,No,Mar,3
LL10094,2025-06-23,C1122,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,8.59,38390.31,27000,11390.31,WhatsApp,USSD,6,Delivered,No,No,5,Yes,Jun,6
LL10095,2025-11-24,C1178,Returning,Wide-Leg Trousers,Trousers,1,27204.39,23.25,20879.98,17000,3879.98,WhatsApp,Cash,4,Delivered,No,No,4,Yes,Nov,11
LL10096,2025-01-12,C1087,Returning,Basic Bodysuit,Tops,2,15000.0,16.02,25193.18,18000,7193.18,Instagram,USSD,1,Delivered,No,No,3,Yes,Jan,1
LL10097,2025-03-23,C1454,Returning,Leather Tote,Bags,1,38000.0,12.53,33238.62,22500,10738.62,Instagram,Transfer,1,Delivered,No,No,4,Yes,Mar,3
LL10098,2025-08-01,C1159,New,Statement Earrings,Accessories,1,8349.07,19.76,6699.4,3500,3199.4,TikTok,USSD,2,Delivered,No,No,5,No,Aug,8
LL10099,2025-09-19,C1295,New,Classic Blazer,Outerwear,1,44988.72,13.56,38888.72,30000,8888.72,Google,Transfer,2,Delivered,No,No,3,No,Sep,9
LL10100,2025-10-20,C1325,New,Basic Bodysuit,Tops,1,14544.9,30.22,10149.2,9000,1149.2,TikTok,Card,7,Delivered,No,Yes,2,No,Oct,10
LL10101,2025-03-07,C1163,Returning,Satin Dress,Dresses,3,35000.0,12.66,10766.28,63000,-9699.15,TikTok,Transfer,3,Returned,Yes,Yes,3,Yes,Mar,3
LL10102,2025-10-03,C1264,Returning,Satin Dress,Dresses,1,32505.9,29.17,23024.44,21000,2024.44,TikTok,Card,5,Delivered,No,No,2,Yes,Oct,10
LL10103,2025-07-26,C1390,New,Wide-Leg Trousers,Trousers,1,27298.0,17.64,22482.09,17000,5482.09,Instagram,Transfer,4,Delivered,No,No,3,Yes,Jul,7
LL10104,2025-06-30,C1242,Returning,Maxi Skirt,Skirts,1,26000.0,10.05,23387.92,15500,7887.92,TikTok,USSD,1,Delivered,No,No,4,Yes,Jun,6
LL10105,2025-05-31,C1384,New,Wide-Leg Trousers,Trousers,1,28000.0,5.31,26513.86,17000,9513.86,Walk-in,Transfer,4,Delivered,No,No,4,No,May,5
LL10106,2025-08-06,C1427,Returning,Linen Two-Piece,Two-Piece Sets,1,40591.75,13.41,35146.69,27000,8146.69,Google,Cash,5,Delivered,No,No,4,Yes,Aug,8
LL10107,2025-05-22,C1053,Returning,Basic Bodysuit,Tops,3,15000.0,16.51,37569.07,27000,10569.07,Instagram,USSD,1,Delivered,No,No,5,Yes,May,5
LL10108,2025-11-20,C1098,New,Wide-Leg Trousers,Trousers,1,27009.57,20.27,2474.78,17000,-869.58,Referral,Cash,7,Returned,Yes,Yes,2,No,Nov,11
LL10109,2025-07-18,C1143,Returning,Knit Cardigan,Tops,1,22453.29,29.06,15928.15,14500,1428.15,Instagram,Card,7,Delivered,No,Yes,3,Yes,Jul,7
LL10110,2025-03-26,C1282,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,18.1,34397.1,27000,7397.1,Instagram,Transfer,1,Delivered,No,No,3,Yes,Mar,3
LL10111,2025-12-09,C1326,Returning,Knit Cardigan,Tops,1,23379.91,21.79,18284.34,14500,3784.34,Instagram,USSD,5,Delivered,No,No,3,Yes,Dec,12
LL10112,2025-01-27,C1157,Returning,Classic Blazer,Outerwear,1,48000.0,5.08,45562.25,30000,15562.25,Instagram,Card,3,Delivered,No,No,4,Yes,Jan,1
LL10113,2025-04-18,C1074,Returning,Silk Scarf,Accessories,1,12000.0,14.74,10230.64,5500,4730.64,Google,Card,2,Delivered,No,No,3,Yes,Apr,4
LL10114,2025-05-21,C1375,Returning,Mini Handbag,Bags,2,22000.0,10.34,39449.36,25000,14449.36,Instagram,Transfer,1,Delivered,No,No,5,Yes,May,5
LL10115,2025-06-03,C1347,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,13.46,36345.33,27000,9345.33,Google,Cash,4,Delivered,No,No,4,Yes,Jun,6
LL10116,2025-06-10,C1119,New,Leather Tote,Bags,1,38000.0,8.2,34884.98,22500,12384.98,WhatsApp,Card,1,Delivered,No,No,4,No,Jun,6
LL10117,2025-10-18,C1263,Returning,Classic Blazer,Outerwear,1,43260.75,8.66,39514.81,30000,9514.81,TikTok,Cash,1,Delivered,No,No,3,Yes,Oct,10
LL10118,2025-08-17,C1353,Returning,Basic Bodysuit,Tops,1,13771.99,27.34,10006.66,9000,1006.66,TikTok,Transfer,3,Delivered,No,No,4,Yes,Aug,8
LL10119,2025-08-18,C1200,Returning,Leather Tote,Bags,1,34359.11,16.77,28597.96,22500,6097.96,TikTok,Transfer,2,Delivered,No,No,3,Yes,Aug,8
LL10120,2025-11-29,C1477,Returning,Basic Bodysuit,Tops,1,13991.37,23.81,10660.42,9000,1660.42,TikTok,Cash,4,Delivered,No,No,4,Yes,Nov,11
LL10121,2025-04-28,C1005,Returning,Statement Earrings,Accessories,1,9000.0,16.07,7554.11,3500,4054.11,WhatsApp,Transfer,3,Delivered,No,No,4,Yes,Apr,4
LL10122,2025-05-22,C1292,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,14.78,35790.93,27000,8790.93,TikTok,Transfer,3,Delivered,No,No,3,No,May,5
LL10123,2025-09-19,C1419,Returning,Leather Tote,Bags,1,35407.42,8.03,32564.08,22500,10064.08,WhatsApp,Card,7,Delivered,No,Yes,3,Yes,Sep,9
LL10124,2025-01-07,C1436,Returning,Mini Handbag,Bags,1,22000.0,12.17,19322.64,12500,6822.64,Instagram,Transfer,3,Delivered,No,No,4,Yes,Jan,1
LL10125,2025-10-16,C1164,Returning,Satin Dress,Dresses,1,32907.19,29.95,0.0,21000,0.0,TikTok,Transfer,6,Cancelled,No,Yes,4,Yes,Oct,10
LL10126,2025-04-06,C1092,New,Wide-Leg Trousers,Trousers,1,28000.0,10.27,25124.42,17000,8124.42,Instagram,Card,4,Delivered,No,No,3,No,Apr,4
LL10127,2025-09-23,C1345,New,Maxi Skirt,Skirts,1,24295.1,21.23,19137.35,15500,3637.35,Instagram,Transfer,7,Delivered,No,Yes,3,No,Sep,9
LL10128,2025-09-17,C1103,New,Mini Handbag,Bags,1,20339.01,13.39,17616.05,12500,5116.05,WhatsApp,Card,3,Delivered,No,No,4,No,Sep,9
LL10129,2025-04-02,C1470,Returning,Mini Handbag,Bags,1,22000.0,12.09,19339.97,12500,6839.97,Instagram,Transfer,3,Delivered,No,No,4,Yes,Apr,4
LL10130,2025-01-13,C1213,Returning,Mini Handbag,Bags,1,22000.0,4.03,21112.96,12500,8612.96,Instagram,Transfer,1,Delivered,No,No,3,Yes,Jan,1
LL10131,2025-04-27,C1282,New,Linen Two-Piece,Two-Piece Sets,1,42000.0,15.84,35346.74,27000,8346.74,TikTok,Transfer,1,Delivered,No,No,4,No,Apr,4
LL10132,2025-01-29,C1097,Returning,Premium Jumpsuit,Jumpsuits,1,52000.0,4.4,49714.14,34000,15714.14,Referral,Cash,1,Delivered,No,No,4,Yes,Jan,1
LL10133,2025-12-09,C1344,Returning,Mini Handbag,Bags,1,19873.34,18.44,0.0,12500,0.0,Instagram,Card,8,Cancelled,Yes,Yes,2,Yes,Dec,12
LL10134,2025-08-16,C1139,Returning,Classic Blazer,Outerwear,1,43911.15,24.49,0.0,30000,0.0,Instagram,Transfer,7,Cancelled,No,Yes,4,Yes,Aug,8
LL10135,2025-08-08,C1337,New,Statement Earrings,Accessories,1,8187.4,10.89,7295.71,3500,3795.71,WhatsApp,Cash,7,Delivered,No,Yes,3,No,Aug,8
LL10136,2025-09-26,C1181,Returning,Knit Cardigan,Tops,1,21683.97,22.64,16774.89,14500,2274.89,Instagram,Card,4,Delivered,No,No,3,Yes,Sep,9
LL10137,2025-08-01,C1172,New,Satin Dress,Dresses,2,33911.84,16.3,56770.29,42000,14770.29,Google,USSD,6,Delivered,No,No,4,No,Aug,8
LL10138,2025-08-24,C1224,New,Leather Tote,Bags,2,35018.77,21.67,54857.33,45000,9857.33,WhatsApp,Cash,5,Delivered,No,No,3,Yes,Aug,8
LL10139,2025-02-13,C1461,New,Mini Handbag,Bags,1,22000.0,11.2,19535.17,12500,7035.17,WhatsApp,Card,7,Delivered,No,Yes,3,No,Feb,2
LL10140,2025-05-24,C1072,New,Mini Handbag,Bags,2,22000.0,12.39,38548.2,25000,13548.2,Instagram,Transfer,3,Delivered,No,No,4,No,May,5
LL10141,2025-03-07,C1425,New,Basic Bodysuit,Tops,2,15000.0,14.33,25701.03,18000,7701.03,Instagram,Cash,3,Delivered,No,No,3,No,Mar,3
LL10142,2025-11-08,C1211,Returning,Wide-Leg Trousers,Trousers,1,26641.14,15.81,1870.02,17000,-948.84,Referral,Transfer,5,Returned,Yes,Yes,2,Yes,Nov,11
LL10143,2025-07-07,C1057,New,Satin Dress,Dresses,1,31681.59,20.24,25269.01,21000,4269.01,WhatsApp,Card,9,Delivered,No,Yes,4,No,Jul,7
LL10144,2025-03-01,C1403,New,Classic Blazer,Outerwear,1,48000.0,12.96,41777.94,30000,11777.94,TikTok,Cash,4,Delivered,No,No,4,No,Mar,3
LL10145,2025-07-02,C1481,New,Wide-Leg Trousers,Trousers,1,25588.6,21.87,19993.52,17000,2993.52,WhatsApp,Card,6,Delivered,No,No,4,No,Jul,7
LL10146,2025-11-21,C1500,New,Linen Two-Piece,Two-Piece Sets,1,40152.85,22.38,0.0,27000,0.0,WhatsApp,Card,5,Cancelled,No,No,4,Yes,Nov,11
LL10147,2025-03-10,C1349,New,Wide-Leg Trousers,Trousers,1,28000.0,9.04,25468.96,17000,8468.96,Instagram,Transfer,5,Delivered,No,No,4,Yes,Mar,3
LL10148,2025-11-12,C1364,New,Wide-Leg Trousers,Trousers,1,27342.82,21.89,21357.32,17000,4357.32,Instagram,Transfer,3,Delivered,No,No,3,No,Nov,11
LL10149,2025-07-01,C1479,New,Leather Tote,Bags,1,34390.47,17.89,28236.92,22500,5736.92,Google,Transfer,3,Delivered,No,No,4,No,Jul,7
LL10150,2025-07-18,C1405,New,Knit Cardigan,Tops,2,22798.9,18.44,37191.09,29000,8191.09,WhatsApp,USSD,5,Delivered,No,No,3,No,Jul,7
LL10151,2025-06-10,C1178,Returning,Premium Jumpsuit,Jumpsuits,1,52000.0,11.32,46113.87,34000,12113.87,Walk-in,Transfer,2,Delivered,No,No,5,Yes,Jun,6
LL10152,2025-07-17,C1098,Returning,Mini Handbag,Bags,1,20968.97,22.7,16208.68,12500,3708.68,Instagram,Transfer,4,Delivered,No,No,4,Yes,Jul,7
LL10153,2025-10-21,C1444,New,Classic Blazer,Outerwear,1,44468.03,14.77,37900.02,30000,7900.02,Referral,Card,3,Delivered,No,No,4,No,Oct,10
LL10154,2025-02-27,C1284,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,12.56,36726.03,27000,9726.03,TikTok,USSD,2,Delivered,No,No,5,Yes,Feb,2
